Governorate;Camp Name;household;men;women;boys;girls;individual;Camp Management;Shelter;NFIs;Water;Sanitation;Waste removal;Health;Food;Livelihood;Protection;Education;Geo
Anbar;Alamal Almanshood 2 (AAF12);110;52;72;60;52;219;2. Medium;2. Medium;2. Medium;1. Low;2. Medium;2. Medium;2. Medium;2. Medium;3. High;3. High;3. High;33.1447454565022,43.8424348595211
Anbar;caravans camp (AAF13);83;84;125;88;84;389;2. Medium;1. Low;2. Medium;3. High;2. Medium;2. Medium;2. Medium;3. High;4. Very high;3. High;3. High;33.1422743923658,43.846501212217
Anbar;Iraq Camp (AAF14);149;171;141;137;171;624;2. Medium;2. Medium;3. High;3. High;4. Very high;2. Medium;2. Medium;2. Medium;1. Low;3. High;3. High;33.1429520824456,43.8534505725145
Anbar;Al Fallujah Camp (AAF17);165;166;161;139;166;597;2. Medium;1. Low;1. Low;3. High;3. High;2. Medium;3. High;3. High;4. Very high;2. Medium;3. High;33.142085364902,43.8501561541836
Anbar;Al-Tahrir (Al Khanjar AAF18);197;87;146;138;87;476;2. Medium;1. Low;3. High;3. High;3. High;2. Medium;2. Medium;2. Medium;2. Medium;2. Medium;2. Medium;33.1472761648911,43.8400539816908
Anbar;Amriyat Al-Fallujah Camp 21;165;85;108;293;85;696;2. Medium;1. Low;1. Low;4. Very high;2. Medium;2. Medium;2. Medium;2. Medium;3. High;2. Medium;3. High;33.1388994468615,43.8425874839317
Anbar;Zoba'a camp (AAF22);140;70;114;85;70;325;2. Medium;1. Low;2. Medium;3. High;2. Medium;2. Medium;3. High;2. Medium;3. High;2. Medium;2. Medium;33.1402048870442,43.8453695695671
Anbar;Al Najat (AAF24);257;256;186;180;256;1176;2. Medium;2. Medium;2. Medium;3. High;4. Very high;2. Medium;2. Medium;2. Medium;2. Medium;2. Medium;2. Medium;33.1396912712346,43.8478520459801
Anbar;Al Bashayir camp (AAF25);189;110;111;202;110;591;2. Medium;1. Low;3. High;3. High;4. Very high;3. High;2. Medium;2. Medium;2. Medium;3. High;2. Medium;33.1379150165597,43.8474454334642
Anbar;Al-Tahadi (AAF26);186;146;158;152;146;612;2. Medium;2. Medium;0. No;3. High;2. Medium;2. Medium;4. Very high;4. Very high;3. High;3. High;3. High;33.1375084040438,43.8499279098773
Anbar;Amriyat Al-Fallujah Camp 27;254;205;157;386;205;985;2. Medium;1. Low;2. Medium;3. High;3. High;2. Medium;2. Medium;2. Medium;2. Medium;3. High;2. Medium;33.1451270385529,43.8397625969789
Anbar;Amriyat Al-Fallujah Camp 30;258;246;213;391;246;1342;2. Medium;0. No;1. Low;3. High;3. High;3. High;2. Medium;2. Medium;2. Medium;3. High;2. Medium;33.142128,43.855296
Anbar;Al Abrar (AAF32);130;115;180;138;115;533;2. Medium;1. Low;2. Medium;3. High;2. Medium;3. High;3. High;2. Medium;3. High;3. High;2. Medium;33.147511,43.843325
Anbar;Al Tahrer Central;165;225;117;114;225;731;2. Medium;1. Low;1. Low;3. High;2. Medium;0. No;2. Medium;1. Low;3. High;2. Medium;4. Very high;33.250813,43.584368
Anbar;Al-Qasir RHU Camp A;214;235;206;344;235;1126;2. Medium;0. No;1. Low;2. Medium;0. No;2. Medium;2. Medium;1. Low;1. Low;2. Medium;2. Medium;33.250864,43.579861
Anbar;Al-Qasir 4 - RHU Camp B;165;179;181;273;179;868;2. Medium;0. No;1. Low;2. Medium;0. No;2. Medium;2. Medium;1. Low;2. Medium;2. Medium;2. Medium;33.251819,43.581758
Anbar;Fallujah camp 1 - HTC;92;91;111;124;91;429;2. Medium;0. No;1. Low;2. Medium;3. High;2. Medium;2. Medium;1. Low;3. High;2. Medium;4. Very high;33.25358,43.58336
Anbar;Fallujah camp 8 - HTC;200;227;196;179;227;767;2. Medium;1. Low;1. Low;3. High;2. Medium;0. No;2. Medium;1. Low;3. High;1. Low;3. High;33.256382,43.588007
Anbar;Al Samsud;48;45;49;63;45;203;2. Medium;1. Low;1. Low;2. Medium;2. Medium;0. No;2. Medium;2. Medium;2. Medium;2. Medium;4. Very high;33.248314,43.587558
Anbar;Kilo 18;735;686;894;971;686;3416;2. Medium;1. Low;0. No;3. High;2. Medium;2. Medium;2. Medium;1. Low;1. Low;2. Medium;4. Very high;33.398393,43.13661
